timestamp,datapath_id,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,duration_nsec,idle_timeout,hard_timeout,priority,packet_count,byte_count,packet_rate,byte_rate,flow_speed,packets_per_flow,bytes_per_packet,bytes_per_flow,flow_duration,flow_iat,active_time,label
2025-10-24T15:31:56.928447,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,4,5000000,10,30,1,8,760,1.9975031210986267,189.76279650436953,1.9975031210986267,8,95.0,760,4.005,0,4.005,0
2025-10-24T15:31:56.928860,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,3,999000000,10,30,1,8,740,0,0,0,8,92.5,740,3.999,0.0,3.999,0
2025-10-24T15:31:56.932048,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,3,992000000,10,30,1,7,686,0,0,0,7,98.0,686,3.992,0.0,3.992,0
2025-10-24T15:31:56.932391,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,3,512000000,10,30,1,7,686,0,0,0,7,98.0,686,3.512,0.0,3.512,0
2025-10-24T15:31:56.932591,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,475000000,10,30,1,4,392,0,0,0,4,98.0,392,2.475,0.0,2.475,0
2025-10-24T15:31:56.932783,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,462000000,10,30,1,4,392,0,0,0,4,98.0,392,2.462,0.0,2.462,0
2025-10-24T15:31:56.932962,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,462000000,10,30,1,0,0,0,0,0,0,0,0,2.462,0.0,2.462,0
2025-10-24T15:31:56.933161,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,431000000,10,30,1,3,294,0,0,0,3,98.0,294,2.431,0.0,2.431,0
2025-10-24T15:31:56.933332,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,423000000,10,30,1,0,0,0,0,0,0,0,0,2.423,0.0,2.423,0
2025-10-24T15:31:56.933493,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,369000000,10,30,1,0,0,0,0,0,0,0,0,2.3689999999999998,0.0,2.3689999999999998,0
2025-10-24T15:31:56.933675,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,361000000,10,30,1,0,0,0,0,0,0,0,0,2.3609999999999998,0.0,2.3609999999999998,0
2025-10-24T15:31:56.933849,1,1_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,1,996000000,10,30,1,4,392,0,0,0,4,98.0,392,1.996,0.0,1.996,0
2025-10-24T15:31:56.944600,4,4_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,475000000,10,30,1,8,784,3.2323232323232323,316.76767676767673,3.2323232323232323,8,98.0,784,2.475,0,2.475,0
2025-10-24T15:31:56.944824,4,4_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,462000000,10,30,1,9,882,0,0,0,9,98.0,882,2.462,0.0,2.462,0
2025-10-24T15:31:56.945097,4,4_0.0.0.0_0.0.0.0_0_0_0,0.0.0.0,0.0.0.0,0,0,0,2,462000000,10,30,1,4,392,0,0,0,4,98.0,392,2.462,0.0,2.462,0
