src_port,dst_port,protocol,duration_sec,duration_nsec,idle_timeout,hard_timeout,priority,packet_count,byte_count,packet_rate,byte_rate,flow_speed,packets_per_flow,bytes_per_packet,bytes_per_flow,flow_duration,flow_iat,active_time,src_ip_numeric,dst_ip_numeric,packets_per_second,bytes_per_second,bytes_per_packet_ratio,is_tcp,is_udp,is_icmp,is_well_known_port,label
0.0,0.0,0.0,-1.1799240648984066,0.0022790884795384487,0.0,0.0,0.0,-0.07071122905846151,-0.09329587349222156,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.07071122905846151,0.22132203433361117,-0.09329587349222156,-1.1792915385368319,-0.23875518590565706,-1.1792915385368319,0.0,0.0,-0.015697121440986887,-0.015699512703694775,-0.6272294985074817,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.6683798798034302,1.484415631246915,0.0,0.0,0.0,-0.06808845492979466,-0.08837190089943042,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.06808845492979466,0.22132203433361117,-0.08837190089943042,1.7165206552083803,-0.23875518590565706,1.7165206552083803,0.0,0.0,-0.015697121009209877,-0.015699511783842688,0.5764879761966945,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-1.1799240648984066,1.6744331367299121,0.0,0.0,0.0,-0.07055991516642304,-0.09301179815032976,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.07055991516642304,0.22132203433361117,-0.09301179815032976,-1.1241744241488225,-0.23875518590565706,-1.1241744241488225,0.0,0.0,-0.01569712098099449,-0.015699511723732996,-0.17969351432259564,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-1.521720538262627,-0.09791195986604179,0.0,0.0,0.0,-0.07091298091451281,-0.09367464061474395,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.07091298091451281,0.22132203433361117,-0.09367464061474395,-1.524229016803938,-0.23875518590565706,-1.524229016803938,0.0,0.0,-0.015697120905263137,-0.01569951156239592,-3.312445403616799,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.7569226174988424,-1.1205516257381711,0.0,0.0,0.0,-0.0706607910944487,-0.09334032065455837,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.0706607910944487,-3.3540049479381024,-0.09334032065455837,0.7196297061326955,-0.23875518590565706,0.7196297061326955,0.0,0.0,-0.015697122338127017,-0.015699514738192595,-2.126409807045191,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.04060248701767191,1.4464121301503157,0.0,0.0,0.0,-0.06960159385017939,-0.09121265431834838,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.06960159385017939,0.22132203433361117,-0.09121265431834838,0.0070929608315122095,-0.23875518590565706,0.0070929608315122095,0.0,0.0,-0.015697121033651052,-0.01569951183591185,0.42767674992832105,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.30119398634654854,-1.2311072652919148,0.0,0.0,0.0,-0.06995465959826916,-0.09187549678276258,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.06995465959826916,0.22132203433361117,-0.09187549678276258,0.2604722573466365,-0.23875518590565706,0.2604722573466365,0.0,0.0,-0.01569712159034198,-0.015699513021878903,0.33177618188870217,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.32658340643921,0.6241545609693468,0.0,0.0,0.0,-0.06834064474985879,-0.08884535980258342,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.06834064474985879,0.22132203433361117,-0.08884535980258342,1.3465299431285422,-0.23875518590565706,1.3465299431285422,0.0,0.0,-0.015697120965888788,-0.015699511691552002,0.5633851009277807,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-1.4077883804745537,-1.3209337224293316,0.0,0.0,0.0,-0.07071122905846151,-0.09329587349222156,-0.013736420455771278,-0.013739672867095655,-0.013736420455771278,-0.07071122905846151,0.22132203433361117,-0.09329587349222156,-1.4506636120629177,-0.23875518590565706,-1.4506636120629177,0.0,0.0,-0.015697119033862186,-0.015699507575587874,-0.6272294985074817,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.8381275915341863,-1.358937223525931,0.0,0.0,0.0,-0.07035816331037176,-0.09263303102780736,-0.013731320440477202,-0.01372873964527487,-0.013731320440477202,-0.07035816331037176,0.22132203433361117,-0.09263303102780736,-0.8825245961914772,1.1878703447118937,-0.8825245961914772,0.0,0.0,-0.01569712101423808,-0.015699511794554703,0.09571324517579603,0.0,0.0,0.0,0.0,0
